                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61568,                0.39425,                 1.1127,                0.98026,                0.97882,                0.99283,                0.93614,                0.35377,                0.19218,                   0.84,              0.0082675,              0.0082675,              0.0082675
                     37,                0.61207,                0.39321,                 1.1125,                0.97939,                 0.9774,                0.99333,                0.93638,                0.35461,                0.18772,                0.83938,               0.008218,               0.008218,               0.008218
                     38,                0.60641,                0.38989,                 1.1116,                0.98111,                0.97887,                0.99332,                0.93662,                  0.349,                0.18608,                0.83697,              0.0081685,              0.0081685,              0.0081685
                     39,                0.60507,                0.38361,                 1.1082,                0.97683,                0.98029,                0.99291,                0.93758,                0.34934,                0.18576,                0.83685,               0.008119,               0.008119,               0.008119
                     40,                0.59881,                0.37996,                 1.1022,                0.97396,                0.98201,                 0.9933,                0.93755,                0.34665,                0.18267,                0.83436,              0.0080695,              0.0080695,              0.0080695
                     41,                0.59917,                0.37904,                 1.1013,                0.98344,                0.97429,                0.99326,                0.93871,                0.34212,                 0.1825,                0.83207,                0.00802,                0.00802,                0.00802
                     42,                0.59254,                0.37612,                 1.0951,                0.98095,                0.98201,                0.99343,                0.93912,                0.33848,                0.18065,                0.82916,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.5909,                0.37163,                 1.0938,                0.97788,                0.98497,                 0.9932,                0.94237,                0.33493,                0.17837,                0.82681,               0.007921,               0.007921,               0.007921
                     44,                0.58112,                0.37009,                 1.0868,                0.98616,                0.97699,                0.99305,                0.94255,                0.33021,                0.17482,                0.82508,              0.0078715,              0.0078715,              0.0078715
                     45,                0.58214,                0.37158,                 1.0908,                0.98641,                0.97772,                0.99327,                0.94521,                 0.3278,                0.17448,                0.82351,               0.007822,               0.007822,               0.007822
                     46,                  0.576,                 0.3653,                 1.0853,                0.98333,                0.98201,                0.99323,                0.94422,                0.32462,                0.17368,                0.82167,              0.0077725,              0.0077725,              0.0077725
                     47,                0.57311,                0.36117,                 1.0854,                0.98201,                0.98245,                0.99317,                0.94657,                0.32272,                0.17352,                0.82016,               0.007723,               0.007723,               0.007723
                     48,                0.56915,                0.36004,                  1.083,                0.98203,                0.98337,                0.99329,                0.94736,                0.32135,                0.17101,                0.81974,              0.0076735,              0.0076735,              0.0076735
                     49,                0.56222,                 0.3541,                  1.082,                0.98453,                0.98148,                0.99351,                0.94702,                0.32159,                0.17014,                 0.8199,               0.007624,               0.007624,               0.007624
                     50,                0.56271,                0.35276,                 1.0798,                0.98371,                0.98321,                0.99355,                0.94827,                0.31996,                0.16946,                0.81935,              0.0075745,              0.0075745,              0.0075745
                     51,                0.55817,                0.35015,                 1.0771,                0.98291,                0.98372,                0.99353,                0.94761,                0.31744,                0.16823,                0.81708,               0.007525,               0.007525,               0.007525
                     52,                0.55411,                0.34887,                 1.0744,                0.98538,                0.98199,                0.99357,                0.94799,                 0.3156,                0.16596,                0.81602,              0.0074755,              0.0074755,              0.0074755
                     53,                0.55375,                0.34849,                 1.0728,                 0.9854,                0.98297,                0.99358,                0.94833,                0.31271,                0.16493,                0.81453,               0.007426,               0.007426,               0.007426
                     54,                0.54424,                0.34145,                 1.0661,                0.98673,                0.98286,                0.99356,                0.94929,                0.31115,                0.16507,                0.81375,              0.0073765,              0.0073765,              0.0073765
                     55,                0.54743,                0.34212,                 1.0691,                0.98684,                0.98201,                0.99343,                0.94927,                0.30918,                0.16422,                0.81283,               0.007327,               0.007327,               0.007327
                     56,                0.54177,                0.34093,                  1.066,                0.98636,                0.98201,                0.99332,                0.95016,                0.30923,                0.16292,                0.81315,              0.0072775,              0.0072775,              0.0072775
                     57,                0.53845,                 0.3379,                  1.065,                0.98677,                0.98286,                 0.9936,                0.95074,                0.30777,                0.16313,                0.81187,               0.007228,               0.007228,               0.007228
                     58,                0.54019,                 0.3387,                 1.0652,                0.98548,                0.98372,                0.99359,                0.95048,                0.30643,                 0.1629,                0.81116,              0.0071785,              0.0071785,              0.0071785
                     59,                 0.5341,                0.33679,                 1.0582,                0.98525,                0.98286,                0.99338,                0.95005,                0.30514,                0.16294,                0.81012,               0.007129,               0.007129,               0.007129
                     60,                0.53303,                0.33174,                 1.0596,                0.98391,                0.98286,                0.99314,                 0.9498,                0.30429,                0.16258,                 0.8095,              0.0070795,              0.0070795,              0.0070795
                     61,                0.52935,                0.33183,                 1.0589,                0.98527,                0.98286,                0.99318,                0.94905,                0.30304,                0.16235,                0.80866,                0.00703,                0.00703,                0.00703
                     62,                0.52583,                0.33178,                  1.052,                 0.9871,                0.98329,                0.99377,                0.94967,                0.30224,                0.16176,                 0.8081,              0.0069805,              0.0069805,              0.0069805
                     63,                0.52264,                0.32685,                 1.0468,                0.98623,                 0.9816,                0.99369,                0.95138,                0.30087,                0.16094,                0.80722,               0.006931,               0.006931,               0.006931
                     64,                0.52046,                0.33034,                 1.0524,                0.98539,                0.98222,                0.99335,                0.95068,                0.30039,                0.16066,                0.80661,              0.0068815,              0.0068815,              0.0068815
                     65,                0.51914,                 0.3263,                 1.0515,                0.98538,                 0.9818,                0.99335,                0.95035,                0.29992,                0.16006,                0.80638,               0.006832,               0.006832,               0.006832
                     66,                 0.5196,                0.32368,                 1.0489,                0.98454,                 0.9824,                0.99337,                0.95091,                0.29923,                0.15906,                0.80584,              0.0067825,              0.0067825,              0.0067825
                     67,                0.51401,                0.32323,                 1.0457,                0.98454,                0.98253,                0.99338,                0.95134,                0.29842,                0.15863,                0.80562,               0.006733,               0.006733,               0.006733
                     68,                0.51059,                0.32033,                 1.0438,                0.98454,                0.98252,                0.99336,                0.95163,                0.29765,                0.15879,                0.80522,              0.0066835,              0.0066835,              0.0066835
                     69,                0.50482,                0.31615,                 1.0417,                0.98428,                0.98286,                0.99332,                0.95152,                0.29655,                0.15859,                0.80485,               0.006634,               0.006634,               0.006634
                     70,                0.50672,                0.31738,                 1.0414,                 0.9842,                0.98286,                 0.9933,                0.95158,                0.29584,                 0.1579,                0.80474,              0.0065845,              0.0065845,              0.0065845
                     71,                0.50312,                 0.3149,                 1.0405,                0.98341,                0.98286,                 0.9933,                0.95176,                0.29457,                0.15779,                0.80418,               0.006535,               0.006535,               0.006535
