                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.71711,                0.34581,                0.99197,                0.97931,                0.97949,                0.99055,                0.77652,                0.82915,                0.39828,                 1.2333,              0.0013268,              0.0013268,              0.0013268
                     37,                0.70837,                 0.3442,                0.99476,                0.98066,                0.97499,                0.99019,                0.79012,                0.83741,                0.39974,                 1.2637,               0.001307,               0.001307,               0.001307
                     38,                0.70233,                0.34074,                0.98977,                0.98458,                0.98248,                 0.9899,                0.79638,                0.78215,                0.37769,                 1.1927,              0.0012872,              0.0012872,              0.0012872
                     39,                0.70206,                0.33958,                0.99236,                 0.9692,                0.98718,                0.99126,                0.79364,                0.81884,                0.38777,                 1.2253,              0.0012674,              0.0012674,              0.0012674
                     40,                0.68955,                0.33468,                0.98312,                0.98197,                0.98205,                0.99052,                0.78462,                0.84294,                 0.3928,                   1.24,              0.0012476,              0.0012476,              0.0012476
                     41,                0.68877,                 0.3305,                0.98182,                0.98546,                0.97949,                0.99055,                0.79385,                0.83967,                0.37201,                 1.2627,              0.0012278,              0.0012278,              0.0012278
                     42,                0.69428,                0.33633,                0.98128,                0.98457,                0.98184,                0.99027,                0.79131,                0.83457,                0.38375,                  1.253,               0.001208,               0.001208,               0.001208
                     43,                0.68992,                 0.3322,                0.98033,                0.98962,                0.97804,                0.99069,                0.78693,                0.82444,                0.38041,                 1.2285,              0.0011882,              0.0011882,              0.0011882
                     44,                0.67862,                0.32966,                0.97746,                 0.9767,                0.98718,                0.99041,                0.79508,                0.83028,                0.37999,                 1.2599,              0.0011684,              0.0011684,              0.0011684
                     45,                0.67422,                0.32292,                0.97447,                0.98831,                0.97949,                 0.9907,                0.78815,                0.82478,                0.38817,                 1.2168,              0.0011486,              0.0011486,              0.0011486
